,second_name,first_name,team,element_type,selected_by_percent,minutes,value_season,total_points,bps,influence,creativity,threat,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,position,Avg Playtime,PPG,PPGP,Full Name
122,Brownhill,Josh,Burnley,3,3.3,2812,16.4,74,359,350.4,309.1,384.0,0,1,10,42,0,0,0,2,0,0,0,Midfielder,74.0,1.9473684210526316,2.368421052631579,"Brownhill, Josh - Burnley"
54,Ings,Danny,Aston Villa,4,13.1,2172,16.4,131,464,634.6,300.7,866.0,12,4,6,40,0,0,0,1,0,0,21,Forward,57.1578947368421,3.4473684210526314,5.428176795580111,"Ings, Danny - Aston Villa"
157,Benteke,Christian,Crystal Palace,4,1.3,1808,16.3,106,338,512.6,236.5,1030.0,10,2,5,34,0,0,0,1,1,0,14,Forward,47.578947368421055,2.789473684210526,5.2765486725663715,"Benteke, Christian - Crystal Palace"
90,Maupay,Neal,Brighton,4,2.3,2508,16.2,105,334,442.2,443.2,1103.0,8,2,10,34,0,0,1,1,1,0,12,Forward,66.0,2.763157894736842,3.7679425837320575,"Maupay, Neal - Brighton"
177,Coleman,Seamus,Everton,2,0.6,1607,16.2,81,371,322.6,268.2,189.0,0,3,8,19,0,0,0,0,0,0,4,Defender,42.28947368421053,2.1315789473684212,4.536403235843187,"Coleman, Seamus - Everton"
276,Mahrez,Riyad,Man City,3,6.2,1945,16.1,145,505,606.0,693.6,893.0,9,8,11,22,0,0,0,0,0,0,15,Midfielder,51.18421052631579,3.8157894736842106,6.709511568123394,"Mahrez, Riyad - Man City"
390,Aurier,Serge,Spurs,2,0.6,1605,16.0,80,370,412.2,267.6,194.0,2,3,6,22,0,0,0,0,0,0,4,Defender,42.23684210526316,2.1052631578947367,4.4859813084112155,"Aurier, Serge - Spurs"
51,Soares de Paulo,Douglas Luiz,Aston Villa,3,1.7,2781,16.0,72,358,403.4,304.5,189.0,0,2,12,41,0,0,0,8,1,0,0,Midfielder,73.1842105263158,1.894736842105263,2.330097087378641,"Soares de Paulo, Douglas Luiz - Aston Villa"
237,Struijk,Pascal,Leeds,2,0.6,2072,15.8,71,402,513.0,66.3,222.0,1,0,7,32,0,0,0,3,0,0,2,Defender,54.526315789473685,1.868421052631579,3.083976833976834,"Struijk, Pascal - Leeds"
213,Ndidi,Wilfred,Leicester,3,1.2,2175,15.8,79,430,549.2,234.5,78.0,1,4,7,31,0,0,0,6,0,0,11,Midfielder,57.23684210526316,2.0789473684210527,3.268965517241379,"Ndidi, Wilfred - Leicester"
217,Fofana,Wesley,Leicester,2,7.4,2260,15.8,71,464,502.0,107.8,121.0,0,1,7,30,0,0,0,7,0,0,5,Defender,59.473684210526315,1.868421052631579,2.827433628318584,"Fofana, Wesley - Leicester"
187,Mina,Yerry,Everton,2,0.6,1936,15.8,79,399,496.2,23.5,200.0,2,0,6,22,0,0,0,2,0,0,7,Defender,50.94736842105263,2.0789473684210527,3.6725206611570247,"Mina, Yerry - Everton"
476,Traoré,Adama,Wolves,3,0.9,2640,15.7,94,359,475.4,751.0,645.0,2,4,7,41,0,0,0,4,0,0,5,Midfielder,69.47368421052632,2.473684210526316,3.2045454545454546,"Traoré, Adama - Wolves"
453,Antonio,Michail,West Ham,4,15.7,1972,15.7,118,345,517.8,349.1,1038.0,10,5,6,25,0,0,0,3,0,0,19,Forward,51.89473684210526,3.1052631578947367,5.385395537525355,"Antonio, Michail - West Ham"
249,Firmino,Roberto,Liverpool,4,5.1,2837,15.7,141,615,729.4,643.2,1415.0,9,8,10,39,0,0,0,2,0,0,15,Forward,74.65789473684211,3.710526315789474,4.4730348960169195,"Firmino, Roberto - Liverpool"
220,Bertrand,Ryan,Leicester,2,1.1,2598,15.6,78,404,306.8,271.8,135.0,0,2,8,51,0,0,0,5,0,0,4,Defender,68.36842105263158,2.0526315789473686,2.7020785219399537,"Bertrand, Ryan - Leicester"
22,Magalhães,Gabriel,Arsenal,2,0.4,1996,15.6,78,385,464.8,51.0,233.0,2,0,6,24,0,0,0,2,1,0,7,Defender,52.526315789473685,2.0526315789473686,3.517034068136273,"Magalhães, Gabriel - Arsenal"
475,Dendoncker,Leander,Wolves,3,0.2,2498,15.4,77,330,386.4,261.4,343.0,1,2,11,33,1,0,0,4,0,0,2,Midfielder,65.73684210526316,2.026315789473684,2.7742193755004,"Dendoncker, Leander - Wolves"
16,Pépé,Nicolas,Arsenal,3,3.5,1606,15.2,114,351,476.2,235.9,774.0,10,3,4,21,0,0,0,1,1,0,11,Midfielder,42.26315789473684,3.0,6.388542963885429,"Pépé, Nicolas - Arsenal"
5,Lacazette,Alexandre,Arsenal,4,4.6,1916,15.2,129,452,602.4,307.4,797.0,13,3,7,21,0,0,0,3,0,0,21,Forward,50.421052631578945,3.3947368421052633,6.059498956158664,"Lacazette, Alexandre - Arsenal"
262,Phillips,Nathaniel,Liverpool,2,0.5,1455,15.1,68,325,376.4,90.6,132.0,1,1,7,11,0,0,0,2,0,0,1,Defender,38.28947368421053,1.7894736842105263,4.2061855670103085,"Phillips, Nathaniel - Liverpool"
298,Lingard,Jesse,Man Utd,3,4.0,1423,15.1,106,332,487.0,288.2,530.0,9,5,4,19,0,0,1,3,0,0,15,Midfielder,37.44736842105263,2.789473684210526,6.704146170063247,"Lingard, Jesse - Man Utd"
454,Dawson,Craig,West Ham,2,0.3,1925,15.0,75,336,433.6,30.2,219.0,3,0,7,25,2,0,0,3,1,0,3,Defender,50.6578947368421,1.9736842105263157,3.5064935064935066,"Dawson, Craig - West Ham"
102,Welbeck,Danny,Brighton,4,0.9,1541,14.8,89,286,319.8,269.7,595.0,6,4,6,18,0,0,1,0,0,0,15,Forward,40.55263157894737,2.3421052631578947,5.197923426346528,"Welbeck, Danny - Brighton"
251,Mané,Sadio,Liverpool,3,3.9,2808,14.7,176,513,808.8,809.7,1535.0,11,11,12,28,0,0,0,3,0,0,14,Midfielder,73.89473684210526,4.631578947368421,5.641025641025641,"Mané, Sadio - Liverpool"
210,Iheanacho,Kelechi,Leicester,4,12.5,1452,14.7,110,424,540.2,413.9,814.0,12,2,5,23,0,0,1,1,0,0,18,Forward,38.21052631578947,2.8947368421052633,6.818181818181818,"Iheanacho, Kelechi - Leicester"
172,Ward,Joel,Crystal Palace,2,0.2,2255,14.7,66,353,366.8,118.2,28.0,0,1,7,43,0,0,0,5,0,0,6,Defender,59.3421052631579,1.736842105263158,2.6341463414634143,"Ward, Joel - Crystal Palace"
467,Santos Moutinho,João Filipe Iria,Wolves,3,0.4,2526,14.6,73,446,478.4,726.9,113.0,1,1,6,40,0,0,0,3,1,0,4,Midfielder,66.47368421052632,1.9210526315789473,2.6009501187648456,"Santos Moutinho, João Filipe Iria - Wolves"
185,Doucouré,Abdoulaye,Everton,3,0.3,2443,14.5,80,421,433.8,319.4,267.0,2,3,9,36,0,0,0,6,0,0,2,Midfielder,64.28947368421052,2.1052631578947367,2.9471960704052393,"Doucouré, Abdoulaye - Everton"
178,Rodríguez,James,Everton,3,3.8,1763,14.4,101,432,499.2,585.6,399.0,6,5,5,27,0,0,0,4,0,0,11,Midfielder,46.39473684210526,2.6578947368421053,5.155984117980715,"Rodríguez, James - Everton"
85,Burn,Dan,Brighton,2,0.3,2057,14.2,64,330,389.0,183.1,214.0,1,0,6,28,1,0,0,5,0,0,1,Defender,54.13157894736842,1.6842105263157894,2.8001944579484688,"Burn, Dan - Brighton"
143,Werner,Timo,Chelsea,4,6.3,2598,14.2,128,394,514.8,532.4,1276.0,6,12,13,29,0,0,0,2,0,0,7,Forward,68.36842105263158,3.3684210526315788,4.434180138568129,"Werner, Timo - Chelsea"
199,Albrighton,Marc,Leicester,3,0.2,1735,14.2,78,325,412.6,544.2,282.0,1,7,4,22,0,0,0,2,0,0,3,Midfielder,45.6578947368421,2.0526315789473686,4.046109510086455,"Albrighton, Marc - Leicester"
311,Greenwood,Mason,Man Utd,3,4.0,1813,14.1,106,318,370.8,278.7,881.0,7,2,7,23,0,0,0,2,0,0,9,Midfielder,47.71052631578947,2.789473684210526,5.261996690568119,"Greenwood, Mason - Man Utd"
6,Xhaka,Granit,Arsenal,3,0.7,2519,14.0,70,396,456.0,327.6,154.0,1,2,10,27,0,0,0,7,1,0,1,Midfielder,66.28947368421052,1.8421052631578947,2.5009924573243354,"Xhaka, Granit - Arsenal"
277,Sterling,Raheem,Man City,3,3.1,2534,14.0,154,458,663.4,584.1,1366.0,10,9,14,23,0,0,1,4,0,0,10,Midfielder,66.6842105263158,4.052631578947368,5.469613259668509,"Sterling, Raheem - Man City"
296,Rodrigues de Paula Santos,Frederico,Man Utd,3,0.2,2389,13.8,69,404,482.6,395.6,200.0,1,0,12,25,0,0,0,5,0,0,1,Midfielder,62.86842105263158,1.8157894736842106,2.599413980745082,"Rodrigues de Paula Santos, Frederico - Man Utd"
328,Murphy,Jacob,Newcastle,3,0.1,1617,13.8,69,252,363.4,280.8,289.0,2,3,3,33,0,0,0,3,0,0,7,Midfielder,42.55263157894737,1.8157894736842106,3.840445269016698,"Murphy, Jacob - Newcastle"
133,Barkley,Ross,Chelsea,3,0.2,1566,13.8,76,286,274.2,579.3,431.0,3,2,8,24,0,0,0,0,0,0,4,Midfielder,41.21052631578947,2.0,4.367816091954023,"Barkley, Ross - Chelsea"
226,Moreno,Rodrigo,Leeds,4,1.8,1279,13.7,89,341,398.4,409.7,617.0,7,4,3,21,0,0,0,3,0,0,16,Forward,33.6578947368421,2.3421052631578947,6.262705238467553,"Moreno, Rodrigo - Leeds"
479,Castelo Podence,Daniel,Wolves,3,0.0,1661,13.6,75,240,285.6,322.0,456.0,3,2,8,24,0,0,0,3,0,0,5,Midfielder,43.71052631578947,1.9736842105263157,4.0638169777242625,"Castelo Podence, Daniel - Wolves"
289,Torres,Ferran,Man City,3,2.7,1297,13.6,95,265,352.2,276.4,543.0,7,4,7,13,0,0,0,1,0,0,4,Midfielder,34.13157894736842,2.5,6.59213569776407,"Torres, Ferran - Man City"
469,Boly,Willy,Wolves,2,0.4,1879,13.6,68,364,414.0,46.1,182.0,1,1,6,29,0,0,0,2,0,0,4,Defender,49.44736842105263,1.7894736842105263,3.2570516232038322,"Boly, Willy - Wolves"
20,Smith Rowe,Emile,Arsenal,3,7.9,1438,13.5,74,308,273.2,385.1,222.0,2,5,9,10,0,0,0,0,0,0,3,Midfielder,37.8421052631579,1.9473684210526316,4.631432545201669,"Smith Rowe, Emile - Arsenal"
315,Shelvey,Jonjo,Newcastle,3,0.2,2616,13.5,74,377,474.2,522.1,299.0,1,3,6,46,0,0,0,7,0,0,2,Midfielder,68.84210526315789,1.9473684210526316,2.5458715596330275,"Shelvey, Jonjo - Newcastle"
285,de Jesus,Gabriel Fernando,Man City,4,3.3,2056,13.5,115,453,501.0,467.5,931.0,9,5,11,17,0,0,0,2,0,0,16,Forward,54.10526315789474,3.026315789473684,5.034046692607004,"de Jesus, Gabriel Fernando - Man City"
283,Veiga de Carvalho e Silva,Bernardo Mota,Man City,3,2.1,2063,13.4,94,413,399.6,476.2,463.0,2,7,11,18,0,0,0,5,0,0,9,Midfielder,54.28947368421053,2.473684210526316,4.100824042656326,"Veiga de Carvalho e Silva, Bernardo Mota - Man City"
230,Phillips,Kalvin,Leeds,3,2.6,2428,13.4,67,396,535.4,539.3,82.0,1,2,9,34,0,0,0,10,0,0,2,Midfielder,63.89473684210526,1.763157894736842,2.4835255354200987,"Phillips, Kalvin - Leeds"
18,Willock,Joseph,Arsenal,3,0.6,1210,13.2,79,254,436.6,137.2,401.0,8,0,4,18,0,0,1,1,0,0,5,Midfielder,31.842105263157894,2.0789473684210527,5.87603305785124,"Willock, Joseph - Arsenal"
331,Saint-Maximin,Allan,Newcastle,4,4.6,1554,13.1,85,278,376.0,394.2,418.0,3,5,7,26,0,0,0,0,0,0,5,Forward,40.89473684210526,2.236842105263158,4.922779922779923,"Saint-Maximin, Allan - Newcastle"
3,Aubameyang,Pierre-Emerick,Arsenal,4,3.9,2330,13.1,131,358,493.8,361.5,823.0,10,3,10,26,1,0,0,2,0,0,11,Forward,61.31578947368421,3.4473684210526314,5.060085836909871,"Aubameyang, Pierre-Emerick - Arsenal"
223,Cooper,Liam,Leeds,2,0.4,2186,13.1,59,454,620.4,17.7,259.0,1,0,6,41,0,0,0,4,1,0,2,Defender,57.526315789473685,1.5526315789473684,2.429094236047576,"Cooper, Liam - Leeds"
290,Luiz Rosa,Fernando,Man City,3,0.3,1182,13.0,65,303,248.6,220.8,106.0,0,2,7,10,0,0,0,6,0,0,8,Midfielder,31.105263157894736,1.7105263157894737,4.949238578680204,"Luiz Rosa, Fernando - Man City"
170,Mitchell,Tyrick,Crystal Palace,2,1.2,1710,12.9,58,287,387.6,76.8,60.0,1,2,4,32,0,0,0,1,0,0,5,Defender,45.0,1.5263157894736843,3.0526315789473686,"Mitchell, Tyrick - Crystal Palace"
253,Tavares,Fabio Henrique,Liverpool,3,0.8,2566,12.9,71,421,460.4,106.8,75.0,0,2,11,29,0,0,0,6,0,0,2,Midfielder,67.52631578947368,1.868421052631579,2.490257209664848,"Tavares, Fabio Henrique - Liverpool"
480,Kilman,Max,Wolves,2,0.3,1307,12.9,58,258,249.6,67.4,78.0,0,1,5,11,0,0,0,4,0,0,8,Defender,34.39473684210526,1.5263157894736843,3.9938791124713084,"Kilman, Max - Wolves"
153,Gallagher,Conor,Crystal Palace,3,0.1,2530,12.9,71,322,437.2,320.1,276.0,2,2,5,48,0,0,0,11,0,0,3,Midfielder,66.57894736842105,1.868421052631579,2.525691699604743,"Gallagher, Conor - Crystal Palace"
